GeneID	Length	EpCAM-P-4
100042814	1193	0
667931	1019	0
71134	1093	0
433319	483	0
381269	2493	5
111175	1186	84
271711	2815	0
22596	2556	424
381270	4187	10
54380	6715	451
319695	4573	0
19981	588	590
16008	1330	97
16011	5854	383
21958	427	0
69449	571	0
723792	1560	0
78718	551	0
109198	1801	0
21961	9966	7094
435626	2336	0
100862357	817	0
12765	3043	0
227288	1125	0
100316687	67	0
76709	1597	2340
227289	990	0
227290	1820	1873
56695	3501	331
69660	2309	1821
241112	2101	16
18173	2304	7
227292	2776	1519
387219	85	1
22349	3117	12
319651	7196	239
58184	3266	328
18802	3121	40
77264	7472	257
66821	1829	114
57751	1475	275
269209	5235	126
67534	4253	173
104086	1890	111
241113	2832	9
22420	2068	1
22409	1962	0
12570	2704	2
260298	1479	0
12958	702	0
723900	64	0
241116	5718	96
16147	2444	7
75570	860	46
22626	2059	30
69171	2738	1131
227298	2557	1744
68818	1299	427
74104	2934	153
245860	3764	655
52231	2764	312
74577	3451	136
20872	2885	544
22145	2053	1736
381272	767	4
56812	3203	965
19275	3535	28
19711	710	14
13437	1946	763
13346	2150	144
100503248	676	0
11790	11933	89
69080	1528	421
100862164	449	0
241118	2650	1
74241	3235	802
319998	2185	154
98733	5770	113
16322	1463	17
71728	4458	346
20536	4441	334
100862333	771	0
620079	2188	0
13838	6328	144
18505	3868	0
100039210	1208	0
433323	3998	2811
23874	2132	342
68393	1206	2
74205	3950	308
195434	3981	76
57814	2463	84
20254	2485	3
100862182	832	0
252903	2876	51
69368	4714	527
100038695	1791	1
69163	1424	229
100862198	480	0
20720	2055	886
241128	2862	4
26554	2764	1034
72208	394	0
210293	7303	58
241134	4919	0
16367	9163	783
100503073	3039	3
76867	3757	403
100503095	2833	0
12829	7808	583
12828	8609	662
75734	1866	922
66261	1503	0
100044526	654	0
15463	3137	578
80721	2974	230
71386	992	0
20297	802	8
71227	1670	11
77629	6512	1
98496	2667	218
227325	3632	4
100628595	77	0
14897	9632	2199
66153	900	85
71781	2349	0
100503433	891	0
381287	1760	0
621875	1334	0
100040135	1348	0
665378	1621	0
620078	1971	1
100040213	891	0
100039794	1073	1
665338	891	0
109032	1971	64
434484	2417	81
100503502	852	0
100503045	659	0
20684	2158	91
319997	1936	30
12283	3800	1901
64294	2024	3493
71141	1148	0
227326	2550	0
70060	1602	0
72792	3331	36
70247	3256	1256
15559	2072	3
78795	5258	123
100861644	653	0
227327	2595	2
383538	483	0
17975	8257	3070
100303740	116	6
80828	68	0
319336	1266	11
14767	1218	0
71863	1721	1
19231	1192	1652
18582	1092	252
26895	2231	369
18159	1042	0
208718	3171	252
11650	2113	0
76768	2337	0
11648	1680	0
13599	2698	0
69453	1999	0
11447	2910	0
11449	1921	0
26987	4928	511
98363	1805	1
227331	5743	622
100040591	1349	507
73234	462	0
53972	3384	365
319977	1676	3
620454	1602	2
23956	2018	52
16331	4938	33
77040	3180	367
100217415	248	3
20215	1718	1
100503175	947	2
227333	5694	1638
227334	5316	527
394430	3242	0
394434	3216	0
394432	3294	3
394435	2293	1
94284	3302	299
394433	3208	0
22236	3206	0
15504	1017	33
394436	3229	5
100040766	7526	2
381280	8439	92
78605	3662	0
171382	3844	0
75396	870	0
14659	1957	3
100503197	2622	1
320982	3967	709
78650	476	0
73475	603	1
98402	3673	403
77331	591	0
347722	9581	332
74403	3611	0
14472	2126	0
208372	1404	0
74918	3210	19
12778	2579	31
108679	1843	537
433332	1207	0
12835	10841	1344
171531	4484	1126
623503	261	6
19329	1950	30
16978	5743	2763
329207	3851	2
51801	3022	1521
67921	1363	265
665783	892	50
50880	2207	275
227357	5442	2
100503326	684	0
70788	3020	1
227358	2815	7
67444	1368	685
67086	547	3
55927	1335	417
18627	5837	282
74019	3500	197
65247	6072	395
13345	1312	0
208727	3960	96
67273	1220	751
259040	939	0
258228	936	0
259041	1189	0
259039	1082	0
258274	966	0
258483	972	0
258484	969	0
257890	1121	0
66915	711	360
260301	704	1
14733	3552	233
100504295	543	0
387167	66	0
241158	3243	8
67446	1491	164
108657	3039	1682
100037260	1689	1
23830	2877	201
64095	4396	12
208760	1088	0
16560	8257	25
11611	1517	0
71874	2362	364
381284	7348	21
208777	4474	181
69821	3315	325
269224	5119	19
66385	3653	409
404545	3217	3
110611	6238	4456
18000	3335	2212
227377	3912	76
59041	3254	1720
51800	1432	39
67026	2160	293
66615	2964	638
21915	1310	344
66262	4539	471
98314	3058	164
381334	2846	0
100041596	1185	0
666009	570	0
619597	4059	0
241159	4511	0
18566	1930	1
74689	1565	0
67698	2107	485
20452	5677	33
75381	761	0
100504401	921	0
73454	356	0
75159	583	0
227394	2394	1407
329217	3849	305
67854	2475	0
74441	2433	0
634331	2091	0
634346	2300	0
52392	2738	114
227399	5565	268
252876	2041	93
18484	4103	1268
78603	1178	4
69030	1687	0
70866	2328	0
100504494	800	8
241175	5120	0
100504525	886	0
23836	3722	0
320311	8529	8
100504568	1284	0
27392	6777	1021
227446	5406	1047
100042023	231	25
21934	5022	204
635504	465	5
227449	6661	406
626049	545	0
98432	6104	271
12043	7749	71
320761	1243	0
70750	5582	747
20479	3272	850
20724	2565	1
71869	1735	2
241196	1607	0
20248	1629	0
394252	1164	0
383548	1632	0
381286	1659	0
