GeneID	Length	CD24-L-6
497097	3634	1
100503874	3259	2
100038431	1634	0
19888	9747	41
20671	3130	83
27395	4203	155
18777	2433	369
100503730	799	0
21399	2847	194
58175	2241	2
108664	1976	735
18387	4707	0
226304	3692	0
12421	7046	649
620393	858	7
240690	6161	0
319263	5232	604
71096	4193	0
59014	2048	127
76187	3139	142
72481	1246	7
76982	3187	0
17864	3564	8
70675	5179	303
73331	1494	1
170755	5622	135
620986	451	21
240697	2553	5
73824	407	90
266793	74	6
100038398	2646	9
100039596	501	1
69312	1502	17
26754	1240	513
211660	4354	393
211673	7042	1311
329093	1930	0
109294	11187	371
320492	8293	40
329096	3200	0
240725	4864	162
240726	8512	3
383491	2593	0
17978	8213	487
72265	2888	1196
212442	1889	337
381246	1926	2
433273	1245	1
14048	4345	322
17681	1717	21
277328	4263	0
98741	5309	3
21749	1633	239
226866	2748	6
665434	572	0
75799	717	14
19989	934	3162
98711	2295	908
29819	2890	78
66799	2354	325
67923	955	353
329101	2788	0
70397	1732	214
17087	603	26
57339	4809	31
14545	3938	1
94227	6923	89
83691	4006	8
78081	1192	0
654454	222	0
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	0
241035	12928	47
75028	786	0
387202	73	0
723817	119	0
16171	1171	0
257630	1178	1
17215	2886	50
77741	1120	8
74229	4420	241
71877	2208	137
170829	1409	6
75712	1112	29
14859	1450	5958
241041	1148	36
368204	1950	0
433278	844	0
98582	2247	0
226922	6980	13
116837	4066	1
66755	1781	0
387225	71	0
723964	84	0
70155	4844	92
100503399	1522	0
280645	4362	19
98366	2259	171
68002	667	103
68187	6467	296
12839	3888	1
12823	10542	0
68421	5392	647
210933	5522	0
100504323	1551	0
210940	4331	0
433281	2004	0
665903	467	46
210962	2882	0
623924	306	0
791350	1160	3
213109	7561	970
19243	4129	1171
70988	1094	6
266744	1903	0
74708	1449	0
226957	914	0
624262	762	0
170771	1359	0
408192	1437	0
408191	3748	0
19076	1937	45
67503	889	4
19335	4487	94
213539	1815	131
98403	3650	187
433287	3016	39
320705	2292	3
13518	23242	1427
100628580	79	0
69668	1705	142
27993	2249	155
52318	3559	67
19253	1578	546
21755	1246	1
12627	1038	0
21756	1301	0
211383	4356	0
241051	2676	0
226970	2714	45
214469	5080	1136
226971	5469	616
50785	3719	346
320011	9029	655
214854	2583	84
214855	5699	418
226976	4663	562
214895	2225	264
94220	4582	111
94218	5283	177
78321	1954	90
109346	1786	77
20353	3805	263
381337	2577	7
12859	569	200
226977	2077	613
71166	1127	0
22637	2180	30
56030	6548	526
70853	4422	74
12790	3498	0
269180	6817	250
76178	3862	479
67387	1412	381
269181	7054	411
77633	2755	4
100861893	736	0
72097	4361	679
100503734	2218	0
211484	3400	87
623661	1555	28
69028	1229	145
107734	691	330
332427	2564	0
69541	798	0
98258	4596	348
226982	7797	1211
56210	4262	137
16764	6010	35
381338	5077	3
98388	3120	1
100503760	2386	0
433292	1001	0
68833	1706	449
18143	4180	301
114641	1254	49
54610	4440	483
52846	3170	184
100217461	94	4
67702	2434	442
263764	5799	1
619289	2000	0
100042065	359	0
73426	531	0
26921	5974	685
100047133	858	0
16178	1343	35
16177	5035	477
107527	1950	117
17082	6967	5
16182	4781	1763
16174	2487	27
110895	3822	16
226999	3493	35
211798	3152	70
381339	1096	0
74897	573	0
66297	546	0
18993	3065	1
73100	2841	0
69527	1419	270
93690	3860	0
73122	5538	327
98404	3457	222
14200	1563	75
666642	647	1
17974	2775	238
100861934	1421	6
78896	888	4
67883	1263	126
100503192	585	58
22019	4649	610
433294	1086	1
75623	1265	81
72050	2324	134
246229	3571	145
22592	4010	151
100861960	766	0
403183	3181	0
70676	2976	49
75066	906	0
12825	5564	1493
12832	6615	173
73674	2612	190
433297	641	150
53945	3380	25
100042453	717	0
212225	3483	0
227058	12318	117
100101919	12384	81
227059	4961	379
442837	542	0
56363	3339	21
442821	2552	0
20324	3055	2222
109019	2838	335
100045066	3051	10
17912	5042	938
20849	2981	60
100042634	432	0
20846	5356	425
14660	7488	702
17936	5088	665
227094	3394	116
98682	5591	842
16329	1776	104
227095	1704	346
67080	834	16
17700	2682	0
69397	627	0
227099	3032	31
227102	1846	165
72085	2283	89
70396	2362	302
627872	12272	57
98267	3278	250
329152	11336	61
78016	3807	58
98488	3005	156
241062	10579	89
329154	6140	225
81898	6192	3658
67876	1733	549
15510	2332	906
15528	768	488
19070	2826	504
74013	3677	50
212679	2882	54
75388	1258	0
227120	6555	9
626009	1369	24
329159	1906	0
71066	1408	0
212712	5286	7
329160	3728	1
407809	3304	0
75323	2052	0
73467	3008	45
68736	1442	108
68115	1325	135
67198	4045	112
51960	2733	103
68549	5416	78
11761	4382	3797
71724	4360	8408
71872	4973	0
213043	4776	0
66882	2833	1077
12747	3088	3130
70225	1630	110
65102	2105	119
18393	3371	195
100504455	2126	3
213056	8695	545
66495	532	516
100504501	936	22
108812	1579	7
12633	7814	588
12370	2777	235
70827	6240	350
227154	2318	131
73463	2131	0
381259	1972	84
227157	3087	5
74018	7038	178
271697	1477	0
14369	4809	284
381260	3595	126
22218	1215	470
55989	1976	578
100217459	53	0
100217421	63	0
12168	3507	255
100504533	314	67
72750	5532	453
70375	3650	7
57750	3376	94
241066	2604	51
100504573	431	4
269198	12108	460
77951	1501	156
329165	5974	218
77300	9117	192
100043027	207	1
100042533	791	0
12487	4317	7
100504618	845	0
12477	1931	2
54167	3254	1
77341	892	0
72823	8392	194
18187	8122	90
74992	895	0
227195	13529	708
100380944	1802	14
100504668	1301	2
227197	2927	596
55949	1933	3206
100217464	113	24
241070	1606	0
73884	12621	37
23792	6879	10
241073	2427	5
76668	1711	55
75619	3205	134
74426	1756	2
433315	1432	1
93691	1344	33
12912	8421	587
67099	2666	157
69941	713	1
227210	2927	69
14367	6914	346
241075	8562	174
70861	1353	0
667276	1020	1
12968	642	0
12967	635	0
12966	612	0
12965	605	0
12964	615	0
98303	2180	2
15926	2438	3201
18711	11255	354
213527	2414	0
12969	622	0
17756	5520	169
100038569	1663	0
329178	13533	4
66646	2630	318
68691	4760	336
11363	1892	1107
100862127	515	1
17901	1111	0
14768	4461	447
227231	4704	1
13869	4257	1
100502712	2069	0
22779	9424	326
66722	2270	65
320460	4655	0
12021	5448	22
74591	8323	0
108147	2611	402
14268	8312	602
100042814	1193	1
667931	1019	0
71134	1093	1
433319	483	0
381269	2493	24
111175	1186	67
271711	2815	0
22596	2556	426
381270	4187	59
54380	6715	303
319695	4573	1
19981	588	430
16008	1330	68
16011	5854	2031
21958	427	0
69449	571	0
723792	1560	0
78718	551	0
109198	1801	5
