GeneID	Length	CD24-L-4
667931	1019	0
71134	1093	0
433319	483	1
381269	2493	30
111175	1186	64
271711	2815	0
22596	2556	426
381270	4187	203
54380	6715	359
319695	4573	0
19981	588	599
16008	1330	237
16011	5854	3538
21958	427	0
69449	571	0
723792	1560	0
78718	551	0
109198	1801	0
21961	9966	2698
435626	2336	1
100862357	817	0
12765	3043	2
227288	1125	1
100316687	67	0
76709	1597	1626
227289	990	0
227290	1820	1543
56695	3501	376
69660	2309	1322
241112	2101	505
18173	2304	35
227292	2776	902
387219	85	0
22349	3117	14
319651	7196	281
58184	3266	267
18802	3121	7
77264	7472	193
66821	1829	99
57751	1475	308
269209	5235	475
67534	4253	304
104086	1890	49
241113	2832	10
22420	2068	0
22409	1962	2
12570	2704	3
260298	1479	0
12958	702	3
723900	64	0
241116	5718	3113
16147	2444	14
75570	860	30
22626	2059	35
69171	2738	641
227298	2557	815
68818	1299	263
74104	2934	607
245860	3764	429
52231	2764	294
74577	3451	234
20872	2885	524
22145	2053	940
381272	767	2
56812	3203	963
19275	3535	40
19711	710	39
13437	1946	463
13346	2150	360
100503248	676	0
11790	11933	74
69080	1528	390
100862164	449	0
241118	2650	1
74241	3235	440
319998	2185	67
98733	5770	178
16322	1463	127
71728	4458	611
20536	4441	312
100862333	771	0
620079	2188	0
13838	6328	155
18505	3868	0
100039210	1208	0
433323	3998	68
23874	2132	369
68393	1206	2
74205	3950	759
195434	3981	100
57814	2463	53
20254	2485	9
100862182	832	0
252903	2876	54
69368	4714	654
100038695	1791	0
69163	1424	198
100862198	480	0
20720	2055	638
241128	2862	14
26554	2764	1137
72208	394	0
210293	7303	46
241134	4919	0
16367	9163	177
100503073	3039	0
76867	3757	376
100503095	2833	0
12829	7808	133
12828	8609	192
75734	1866	647
66261	1503	2
100044526	654	0
15463	3137	556
80721	2974	80
71386	992	0
20297	802	46
71227	1670	212
77629	6512	3
98496	2667	145
227325	3632	26
100628595	77	0
14897	9632	1697
66153	900	214
71781	2349	0
100503433	891	0
381287	1760	0
621875	1334	2
100040135	1348	0
665378	1621	5
620078	1971	17
100040213	891	0
100039794	1073	2
665338	891	0
109032	1971	172
434484	2417	63
100503502	852	0
100503045	659	1
20684	2158	306
319997	1936	26
12283	3800	2176
64294	2024	1788
71141	1148	0
227326	2550	1
70060	1602	0
72792	3331	45
70247	3256	1385
15559	2072	6
78795	5258	190
100861644	653	0
227327	2595	26
383538	483	0
17975	8257	3168
100303740	116	14
80828	68	0
319336	1266	8
14767	1218	3
71863	1721	3
19231	1192	1274
18582	1092	219
26895	2231	251
18159	1042	2
208718	3171	244
11650	2113	0
76768	2337	0
11648	1680	1
13599	2698	1
69453	1999	0
11447	2910	0
11449	1921	0
26987	4928	397
98363	1805	7
227331	5743	564
100040591	1349	333
73234	462	0
53972	3384	597
319977	1676	12
620454	1602	7
23956	2018	31
16331	4938	152
77040	3180	432
