GeneID	Length	EpCAM-P-5
497097	3634	3
100503874	3259	0
100038431	1634	0
19888	9747	11
20671	3130	96
27395	4203	164
18777	2433	451
100503730	799	2
21399	2847	221
58175	2241	1
108664	1976	864
18387	4707	0
226304	3692	0
12421	7046	806
620393	858	46
240690	6161	0
319263	5232	959
71096	4193	0
59014	2048	100
76187	3139	70
72481	1246	2
76982	3187	1
17864	3564	6
70675	5179	303
73331	1494	0
170755	5622	104
620986	451	27
240697	2553	0
73824	407	99
266793	74	1
100038398	2646	29
100039596	501	1
69312	1502	3
26754	1240	378
211660	4354	270
211673	7042	1584
329093	1930	0
109294	11187	556
320492	8293	8
329096	3200	0
240725	4864	69
240726	8512	14
383491	2593	0
17978	8213	854
72265	2888	1658
212442	1889	511
381246	1926	0
433273	1245	0
14048	4345	203
17681	1717	4
277328	4263	0
98741	5309	1
21749	1633	154
226866	2748	8
665434	572	0
75799	717	1
19989	934	3897
98711	2295	355
29819	2890	100
66799	2354	337
67923	955	362
329101	2788	0
70397	1732	271
17087	603	39
57339	4809	41
14545	3938	1
94227	6923	81
83691	4006	5
78081	1192	0
654454	222	0
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	0
241035	12928	12
75028	786	0
387202	73	0
723817	119	0
16171	1171	0
257630	1178	0
17215	2886	95
77741	1120	6
74229	4420	1531
71877	2208	46
170829	1409	17
75712	1112	52
14859	1450	494
241041	1148	138
368204	1950	0
433278	844	0
98582	2247	0
226922	6980	5
116837	4066	0
66755	1781	0
387225	71	0
723964	84	1
70155	4844	315
100503399	1522	0
280645	4362	40
98366	2259	294
68002	667	122
68187	6467	362
12839	3888	1
12823	10542	0
68421	5392	880
210933	5522	0
100504323	1551	0
210940	4331	0
433281	2004	0
665903	467	40
210962	2882	0
623924	306	0
791350	1160	32
213109	7561	1101
19243	4129	845
70988	1094	0
266744	1903	0
74708	1449	0
226957	914	0
624262	762	0
170771	1359	0
408192	1437	0
408191	3748	0
19076	1937	71
67503	889	3
19335	4487	121
213539	1815	103
98403	3650	181
433287	3016	55
320705	2292	0
13518	23242	2124
100628580	79	3
69668	1705	159
27993	2249	250
52318	3559	120
19253	1578	454
21755	1246	0
12627	1038	0
